🎮游戏频道,#genre#
QQ飞车手游官方直播间,http://tc-tct.douyucdn2.cn/dyliveflv1a/5040227raXQRnvWY_2000.flv?wsAuth=ee1b870123031a58b047b5a2e9a4e050&token=cpn-androidmpro-0-5040227-432528579fe9471282c14838786c9f3c7096859cef81c052&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
黑莓电竞[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225559/1.m3u8

电影频道,#genre#
CHC家庭影院,http://php.jdshipin.com/TVOD/iptv.php?id=chcjtyy
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC家庭影院,http://180.213.174.225:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcdzdy
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC动作电影,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
NewTV 超级电视剧,http://39.134.65.77:80/wh7f454c46tw1767967295_-1135528992/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8?icpid=88888888&RTS=1554599540&from=1&hms_devid=131
NewTV 海外剧场,http://39.134.65.68:80/wh7f454c46tw1780045664_-196684341/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8?icpid=88888888&RTS=1554599552&from=1&hms_devid=133
NewTV 动作电影,http://39.134.65.64:80/wh7f454c46tw1788616257_998076752/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8?icpid=88888888&RTS=1554599561&from=1&hms_devid=125
NewTV 爱情喜剧,http://39.134.65.83:80/wh7f454c46tw1720856652_30803368/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8?icpid=88888888&RTS=1554599493&from=1&hms_devid=137
NewTV 超级综艺,http://39.134.65.78:80/wh7f454c46tw1722648755_566757033/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8?icpid=88888888&RTS=1554599495&from=1&hms_devid=128
NewTV 古装剧场,http://39.134.65.85:80/wh7f454c46tw1724821207_96117689/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8?icpid=88888888&RTS=1554599497&from=1&hms_devid=130
NewTV 精品纪录,http://39.134.65.2:80/wh7f454c46tw1734755679_896258777/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8?icpid=88888888&RTS=1554599507&from=1&hms_devid=11
NewTV 明星大片,http://39.134.65.7:80/wh7f454c46tw1738936394_2033607545/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8?icpid=88888888&RTS=1554599511&from=1&hms_devid=29
NewTV 欢乐剧场,http://39.135.135.81:80/wh7f454c46tw1744894462_1818032107/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8?icpid=88888888&RTS=1554599517&from=1&hms_devid=690
NewTV 东北热剧,http://39.135.135.35:80/wh7f454c46tw1751026922_1159821621/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8?icpid=88888888&RTS=1554599523&from=1&hms_devid=691
NewTV 军旅剧场,http://39.134.65.80:80/wh7f454c46tw1755892000_-1275912247/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8?icpid=88888888&RTS=1554599528&from=1&hms_devid=124
NewTV 健康有约,http://39.134.65.66:80/wh7f454c46tw1756984900_1336875915/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8?icpid=88888888&RTS=1554599529&from=1&hms_devid=126
电影,http://39.135.135.39:80/wh7f454c46tw1758952165_328384403/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8?icpid=88888888&RTS=1554599531&from=1&hms_devid=674
NewTV 电竞,http://39.134.65.75:80/wh7f454c46tw1874103717_-1354686268/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8?icpid=88888888&RTS=1554599646&from=1&hms_devid=127
上海纪实HD,http://39.134.65.86:80/wh7f454c46tw1791807411_-1987553314/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8?icpid=88888888&RTS=1554599564&from=1&hms_devid=129
NewTV 超级电影,http://39.134.65.2:80/wh7f454c46tw1796008427_-1232498779/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8?icpid=88888888&RTS=1554599568&from=1&hms_devid=11
NewTV 农业致富,http://39.134.65.76:80/wh7f454c46tw1797746246_513080737/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8?icpid=88888888&RTS=1554599570&from=1&hms_devid=131
NewTV 金牌综艺,http://39.134.65.82:80/wh7f454c46tw1819649411_659741418/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8?icpid=88888888&RTS=1554599592&from=1&hms_devid=137
NewTV 军事评论,http://39.134.65.69:80/wh7f454c46tw1826525686_48064986/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8?icpid=88888888&RTS=1554599599&from=1&hms_devid=133
NewTV 超级体育,http://39.134.65.72:80/wh7f454c46tw1831306733_-351349546/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8?icpid=88888888&RTS=1554599603&from=1&hms_devid=132
NewTV 中国功夫,http://39.134.65.85:80/wh7f454c46tw1840439900_-1116310936/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8?icpid=88888888&RTS=1554599612&from=1&hms_devid=130
NewTV 潮妈辣婆,http://39.134.65.81:80/wh7f454c46tw1843139764_1553247970/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8?icpid=88888888&RTS=1554599615&from=1&hms_devid=124
NewTV 炫舞未来,http://39.134.65.80:80/wh7f454c46tw1858340058_-1098694147/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8?icpid=88888888&RTS=1554599630&from=1&hms_devid=124
NewTV 惊悚悬疑,http://39.134.65.88:80/wh7f454c46tw1880277418_-1631196878/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8?icpid=88888888&RTS=1554599652&from=1&hms_devid=134
NewTV 精品体育,http://39.134.65.88:80/wh7f454c46tw1892412357_-455729825/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8?icpid=88888888&RTS=1554599664&from=1&hms_devid=134
NewTV 搏击,http://39.134.65.64:80/wh7f454c46tw1893525708_2141550803/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8?icpid=88888888&RTS=1554599666&from=1&hms_devid=125
NewTV 精品大剧,http://39.134.65.85:80/wh7f454c46tw1895257665_-918154198/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8?icpid=88888888&RTS=1554599667&from=1&hms_devid=130
NewTV超级电视剧[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225637/1.m3u8
NewTV超级电视剧[1920*1080],http://39.134.65.183/PLTV/88888888/224/3221225637/1.m3u8
NewTV超级电视剧[1920*1080],http://39.134.65.181/PLTV/88888888/224/3221225637/1.m3u8
NewTV超级电视剧[1920*1080],http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/1.m3u8
NewTV超级电视剧[1920*1080],http://39.134.65.179/PLTV/88888888/224/3221225637/1.m3u8
NewTV超级电影[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225644/1.m3u8
NewTV超级电影[1920*1080],http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/1.m3u8
NewTV超级电影[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225644/1.m3u8
NewTV超级综艺[1920*1080],http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/1.m3u8
NewTV超级综艺[1920*1080],http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/1.m3u8
NewTV东北热剧[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225679/1.m3u8
NewTV东北热剧[1920*1080],http://39.134.65.179/PLTV/88888888/224/3221225679/1.m3u8
NewTV东北热剧[1920*1080],http://39.135.137.47:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/1.m3u8
NewTV东北热剧[1920*1080],http://39.134.65.164/PLTV/88888888/224/3221225679/1.m3u8
NewTV东北热剧[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225679/1.m3u8
NewTV欢乐剧场[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225682/1.m3u8
NewTV欢乐剧场[1920*1080],http://39.134.65.166/PLTV/88888888/224/3221225682/1.m3u8
NewTV欢乐剧场[1920*1080],http://39.134.65.179/PLTV/88888888/224/3221225682/1.m3u8
NewTV欢乐剧场[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225682/1.m3u8
NewTV家庭剧场[1920*1080],http://39.134.65.164/PLTV/88888888/224/3221225538/1.m3u8
NewTV金牌综艺[1920*1080],http://39.134.65.179/PLTV/88888888/224/3221225525/1.m3u8
NewTV金牌综艺[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225525/1.m3u8
NewTV金牌综艺[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225525/1.m3u8
NewTV惊悚悬疑[1920*1080],http://39.134.65.164/PLTV/88888888/224/3221225553/1.m3u8
NewTV精品纪录[1920*1080],http://39.134.65.164/PLTV/88888888/224/3221225545/1.m3u8
NewTV精品综合[1920*1080],http://39.134.65.164/PLTV/88888888/224/3221225550/1.m3u8
NewTV军事评论[1920*1080],http://39.134.65.164/PLTV/88888888/224/3221225535/1.m3u8
NewTV农业致富[1920*1080],http://39.134.65.164/PLTV/88888888/224/3221225552/1.m3u8
NewTV炫舞未来[1920*1080],http://39.134.65.164/PLTV/88888888/224/3221225646/1.m3u8
iHot-爱谍战,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000070630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000070630&livemode=1&stbId=3
iHot-爱动漫,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000280630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000280630&livemode=1&stbId=3
iHot-爱科幻,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000020630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000020630&livemode=1&stbId=3
iHot-爱科学,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000160630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000160630&livemode=1&stbId=3
iHot-爱浪漫,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000040630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000040630&livemode=1&stbId=3
iHot-爱历史,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000150630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000150630&livemode=1&stbId=3
iHot-爱旅行,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000250630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000250630&livemode=1&stbId=3
iHot-爱赛车,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000240630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000240630&livemode=1&stbId=3
iHot-爱体育,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000290630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000290630&livemode=1&stbId=3
iHot-爱玩具,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000220630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000220630&livemode=1&stbId=3
iHot-爱悬疑,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000050630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000050630&livemode=1&stbId=3
iHot-爱院线,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000030630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000030630&livemode=1&stbId=3
上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8?zzhed
新昌休闲影视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
石河子影视文体,http://124.88.144.73:1935/live/jjsh/HasBahCa.m3u8
影视频道,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8
开心转播线路1,https://vdm6-ali.wujiekeji1.com/live/h6-2.flv
开心转播线路2,https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
上虞文化影院,https://stream1.freetv.fun/fed964756a0d4e488e79e95415e911f8f4cf3e5c6e66d654736747fa55856154.m3u8
安徽｜影视,https://stream1.freetv.fun/677ffed46a8c1c3f9fc74701b5db6e71f8df89818837fdf4ffaa6d683b366bd5.ctv
广州影视,https://stream1.freetv.fun/6569ff08025b99653d6173dccf5aafb69b2c79ab797d6b87e82bae00fedb4511.m3u8
绍兴文化影院,https://stream1.freetv.fun/69e2feb3fc54896357a380d344242de12ee1bd360a98ab33d465e8688593081e.m3u8
苏州电影娱乐信息,https://stream1.freetv.fun/fafde2e2ddce7ed44d060788cdfccda12ab98d779fb6b89eedf45b52f71bcb9d.m3u8

📺央视频道,#genre#
CCTV-1 综合,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8
CCTV-1 综合,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV-1 综合,http://jf.jxx2023.work:40446/tsfile/live/0001_1.m3u8
CCTV-2 财经,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2 财经,http://36.105.100.208:35455/gaoma/cctv2.m3u8
CCTV-2 财经,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2 财经,http://iptv77.iptv66.eu.org:35455/gaoma/cctv2.m3u8
CCTV-2 财经,http://3501776.xyz:35455/gaoma/cctv2.m3u8
CCTV-3 综艺,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV-3 综艺,http://36.105.100.208:35455/gaoma/cctv3.m3u8
CCTV-3 综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV-3 综艺,http://xiaoya.crccxw.top:35455/gaoma/cctv3.m3u8
CCTV-4 中文国际,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV-4 中文国际,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-5 体育,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5 体育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-5 体育,http://xiaoya.crccxw.top:35455/gaoma/cctv5.m3u8
CCTV-5 体育,http://36.105.100.208:35455/gaoma/cctv5.m3u8
CCTV-5+ 体育赛事,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-5+ 体育赛事,http://36.105.100.208:35455/gaoma/cctv5p.m3u8
CCTV-5+ 体育赛事,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV-5+ 体育赛事,http://www.douzhicloud.site:35455/gaoma/cctv5p.m3u8
CCTV-5+ 体育赛事,http://iptv77.iptv66.eu.org:35455/gaoma/cctv5p.m3u8
CCTV-5+ 体育赛事,http://xiaoya.crccxw.top:35455/gaoma/cctv5p.m3u8
CCTV-6 电影,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226011/1.m3u8
CCTV-6 电影,http://36.105.100.208:35455/gaoma/cctv6.m3u8
CCTV-6 电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV-7 国防军事,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV-7 国防军事,http://36.105.100.208:35455/gaoma/cctv7.m3u8
CCTV-7 国防军事,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV-7 国防军事,http://xiaoya.crccxw.top:35455/gaoma/cctv7.m3u8
CCTV-8 电视剧,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV-8 电视剧,http://3501776.xyz:35455/gaoma/cctv8.m3u8
CCTV-8 电视剧,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV-8 电视剧,http://iptv77.iptv66.eu.org:35455/gaoma/cctv8k_36m.m3u8
CCTV-8 电视剧,http://xiaoya.crccxw.top:35455/gaoma/cctv8.m3u8
CCTV-9 纪录,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV-9 纪录,http://36.105.100.208:35455/gaoma/cctv9.m3u8
CCTV-9 纪录,http://3501776.xyz:35455/gaoma/cctv9.m3u8
CCTV-9 纪录,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV-9 纪录,http://39.164.160.249:9901/tsfile/live/0009_1.m3u8
CCTV-10 科教,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV-10 科教,http://3501776.xyz:35455/gaoma/cctv10.m3u8
CCTV-10 科教,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV-10 科教,http://36.105.100.208:35455/gaoma/cctv10.m3u8
CCTV-11 戏曲,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8
CCTV-11 戏曲,http://36.105.100.208:35455/gaoma/cctv11.m3u8
CCTV-11 戏曲,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV-11 戏曲,http://39.164.160.249:9901/tsfile/live/0011_1.m3u8
CCTV-11 戏曲,http://xiaoya.crccxw.top:35455/gaoma/cctv11.m3u8
CCTV-12 社会与法,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8
CCTV-12 社会与法,http://36.105.100.208:35455/gaoma/cctv12.m3u8
CCTV-12 社会与法,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV-12 社会与法,http://39.164.160.249:9901/tsfile/live/0012_1.m3u8
CCTV-12 社会与法,http://iptv77.iptv66.eu.org:35455/gaoma/cctv12.m3u8
CCTV-13 新闻,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV-13 新闻,http://3501776.xyz:35455/gaoma/cctv13.m3u8
CCTV-13 新闻,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-13 新闻,http://39.164.160.249:9901/tsfile/live/0013_1.m3u8
CCTV-14 少儿,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV-14 少儿,http://36.105.100.208:35455/gaoma/cctv14.m3u8
CCTV-14 少儿,http://3501776.xyz:35455/gaoma/cctv14.m3u8
CCTV-14 少儿,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV-14 少儿,http://xiaoya.crccxw.top:35455/gaoma/cctv14.m3u8
CCTV-15 音乐,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV-15 音乐,http://36.105.100.208:35455/gaoma/cctv15.m3u8
CCTV-15 音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV-15 音乐,http://xiaoya.crccxw.top:35455/gaoma/cctv15.m3u8
CCTV-16 奥林匹克,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV-16 奥林匹克,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV-16 奥林匹克,http://iptv77.iptv66.eu.org:35455/gaoma/cctv16.m3u8
CCTV-16 奥林匹克,http://xiaoya.crccxw.top:35455/gaoma/cctv16.m3u8
CCTV-16 奥林匹克,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV-17 农业农村,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8
CCTV-17 农业农村,http://36.105.100.208:35455/gaoma/cctv17.m3u8
CCTV-17 农业农村,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8
CCTV-17 农业农村,http://iptv77.iptv66.eu.org:35455/gaoma/cctv17.m3u8
CCTV-17 农业农村,http://xiaoya.crccxw.top:35455/gaoma/cctv17.m3u8
CGTN记录,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002905/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN俄语,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002883/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN法语,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002827/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN西语,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002716/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN阿语,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002826/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
文化精品,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
央视台球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
风云音乐,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
风云剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
怀旧剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
风云足球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
电视指南,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
世界地理,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
兵器科技,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
快乐垂钓,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002264/index.m3u8/?virtualDomain=yinhe.live_hls.zte.com
快乐垂钓,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226805/1.m3u8麻将竞技君

陕西频道,#genre#
陕西生活频道,http://[2409:8087:7001:20:3::6]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226359/1.m3u8
